"","year","location","num_of_records","fetal_deathrate","fetaldeath_staterate","fetal_deaths","infant_deathrate","infantdeath_staterate","infant_deaths","live_births"
"165",1994,"Clallam",1,NA,5,NA,NA,6,NA,601
"166",1994,"Clark",1,4,5,20,6,6,26,4338
"167",1994,"Columbia",1,0,5,0,NA,6,NA,46
"168",1994,"Cowlitz",1,NA,5,NA,NA,6,10,1211
"169",1994,"Douglas",1,NA,5,NA,NA,6,NA,462
"170",1994,"Ferry",1,NA,5,NA,NA,6,NA,88
"171",1994,"Franklin",1,NA,5,10,NA,6,NA,985
"172",1994,"Garfield",1,0,5,0,0,6,0,15
"173",1994,"Grant",1,14,5,17,NA,6,NA,1149
"174",1994,"Grays Harbor",1,NA,5,NA,NA,6,NA,844
"175",1994,"Island",1,NA,5,11,NA,6,NA,1023
"176",1994,"Jefferson",1,NA,5,NA,NA,6,NA,214
"177",1994,"King",1,5,5,124,6,6,136,22010
"178",1994,"Kitsap",1,NA,5,16,5,6,17,3323
"179",1994,"Kittitas",1,NA,5,NA,NA,6,NA,291
"180",1994,"Klickitat",1,0,5,0,NA,6,NA,229
"181",1994,"Lewis",1,NA,5,NA,NA,6,NA,857
"182",1994,"Lincoln",1,NA,5,NA,0,6,0,96
"183",1994,"Mason",1,NA,5,NA,NA,6,NA,544
"184",1994,"Okanogan",1,NA,5,NA,NA,6,NA,547
"185",1994,"Pacific",1,NA,5,NA,NA,6,NA,220
"186",1994,"Pend Oreille",1,0,5,0,NA,6,NA,136
"187",1994,"Pierce",1,4,5,44,6,6,67,9763
"188",1994,"San Juan",1,0,5,0,0,6,0,106
"189",1994,"Skagit",1,NA,5,NA,NA,6,NA,1273
"190",1994,"Skamania",1,NA,5,NA,NA,6,NA,83
"191",1994,"Snohomish",1,4,5,34,4,6,35,7833
"192",1994,"Spokane",1,6,5,35,6,6,37,5379
"193",1994,"Stevens",1,NA,5,NA,NA,6,NA,443
"194",1994,"Thurston",1,NA,5,14,NA,6,13,2447
"195",1994,"Wahkiakum",1,0,5,0,0,6,0,38
"196",1994,"Walla Walla",1,NA,5,11,NA,6,NA,698
"197",1994,"Whatcom",1,NA,5,10,NA,6,NA,1920
"198",1994,"Whitman",1,0,5,0,NA,6,NA,391
"199",1994,"Yakima",1,4,5,19,6,6,28,4273
"200",1995,"State Total",1,5,5,419,5,5,449,77240
"201",1995,"Adams",1,NA,5,NA,NA,5,NA,321
"202",1995,"Asotin",1,NA,5,NA,NA,5,NA,263
"203",1995,"Benton",1,NA,5,13,NA,5,12,1983
"204",1995,"Chelan",1,NA,5,NA,0,5,0,953
"205",1995,"Clallam",1,NA,5,NA,NA,5,NA,660
"206",1995,"Clark",1,NA,5,13,4,5,21,4558
"207",1995,"Columbia",1,NA,5,NA,NA,5,NA,45
"208",1995,"Cowlitz",1,NA,5,NA,NA,5,10,1222
"209",1995,"Douglas",1,NA,5,NA,NA,5,NA,441
"210",1995,"Ferry",1,0,5,0,0,5,0,81
"211",1995,"Franklin",1,NA,5,NA,NA,5,NA,1003
"212",1995,"Garfield",1,0,5,0,0,5,0,22
"213",1995,"Grant",1,NA,5,NA,NA,5,NA,1294
"214",1995,"Grays Harbor",1,NA,5,NA,NA,5,NA,864
"215",1995,"Island",1,NA,5,NA,NA,5,10,939
"216",1995,"Jefferson",1,NA,5,NA,NA,5,NA,216
"217",1995,"King",1,5,5,122,5,5,122,21817
"218",1995,"Kitsap",1,NA,5,16,NA,5,13,3307
"219",1995,"Kittitas",1,NA,5,NA,NA,5,NA,327
"220",1995,"Klickitat",1,0,5,0,0,5,0,225
"221",1995,"Lewis",1,NA,5,NA,NA,5,NA,910
"222",1995,"Lincoln",1,NA,5,NA,0,5,0,96
"223",1995,"Mason",1,0,5,0,NA,5,NA,538
"224",1995,"Okanogan",1,NA,5,NA,NA,5,NA,574
"225",1995,"Pacific",1,NA,5,NA,NA,5,NA,215
"226",1995,"Pend Oreille",1,NA,5,NA,NA,5,NA,154
"227",1995,"Pierce",1,6,5,57,6,5,62,9400
"228",1995,"San Juan",1,0,5,0,0,5,0,104
"229",1995,"Skagit",1,NA,5,NA,NA,5,NA,1299
"230",1995,"Skamania",1,0,5,0,0,5,0,82
"231",1995,"Snohomish",1,6,5,46,5,5,41,7629
"232",1995,"Spokane",1,4,5,27,8,5,44,5503
"233",1995,"Stevens",1,NA,5,NA,NA,5,NA,453
"234",1995,"Thurston",1,NA,5,12,NA,5,12,2442
"235",1995,"Wahkiakum",1,NA,5,NA,0,5,0,38
"236",1995,"Walla Walla",1,NA,5,NA,NA,5,NA,730
"237",1995,"Whatcom",1,NA,5,NA,NA,5,10,1850
"238",1995,"Whitman",1,NA,5,NA,0,5,0,458
"239",1995,"Yakima",1,5,5,21,5,5,25,4224
"240",1996,"State Total",1,5,5,460,6,5,467,77874
"241",1996,"Adams",1,NA,5,NA,NA,5,NA,293
"242",1996,"Asotin",1,NA,5,NA,NA,5,NA,241
"243",1996,"Benton",1,NA,5,15,NA,5,13,2003
"244",1996,"Chelan",1,NA,5,NA,NA,5,NA,986
"245",1996,"Clallam",1,NA,5,NA,NA,5,NA,640
"246",1996,"Clark",1,5,5,26,6,5,30,4726
"247",1996,"Columbia",1,NA,5,NA,0,5,0,50
"248",1996,"Cowlitz",1,NA,5,NA,NA,5,NA,1249
"249",1996,"Douglas",1,NA,5,NA,NA,5,NA,458
"250",1996,"Ferry",1,NA,5,NA,NA,5,NA,81
"251",1996,"Franklin",1,NA,5,NA,NA,5,NA,1059
"252",1996,"Garfield",1,0,5,0,0,5,0,22
"253",1996,"Grant",1,NA,5,NA,NA,5,10,1292
"254",1996,"Grays Harbor",1,NA,5,NA,NA,5,NA,891
"255",1996,"Island",1,NA,5,NA,NA,5,NA,983
"256",1996,"Jefferson",1,0,5,0,NA,5,NA,199
"257",1996,"King",1,6,5,137,5,5,118,21573
"258",1996,"Kitsap",1,5,5,19,NA,5,16,3269
"259",1996,"Kittitas",1,NA,5,NA,NA,5,NA,331
"260",1996,"Klickitat",1,NA,5,NA,NA,5,NA,241
"261",1996,"Lewis",1,NA,5,NA,NA,5,NA,881
"262",1996,"Lincoln",1,NA,5,NA,NA,5,NA,98
"263",1996,"Mason",1,NA,5,NA,NA,5,NA,536
"264",1996,"Okanogan",1,NA,5,NA,NA,5,NA,540
"265",1996,"Pacific",1,0,5,0,NA,5,NA,212
"266",1996,"Pend Oreille",1,0,5,0,NA,5,NA,128
"267",1996,"Pierce",1,4,5,39,7,5,75,9620
"268",1996,"San Juan",1,NA,5,NA,0,5,0,101
"269",1996,"Skagit",1,NA,5,16,NA,5,NA,1293
