StatOverview_Full_Data_data,,,,,,,,,,,,,,,
Year,FDAnnotate,FDSuppress,Geography,ID Annotate,ID Rate Lower CI,ID Rate Upper CI,ID Suppress,Number of Records,Fetal Death Rate,Fetal Death State Rate,Fetal Deaths,Infant Death Rate,Infant Death State Rate,Infant Deaths,Live Births
1992,NR,**,Mason,NR,,,**,1,,5.6,,,6.8,,506
1992,NR,**,Okanogan,NR,,,**,1,,5.6,,,6.8,,534
1992,NR,**,Pacific,NR,,,**,1,,5.6,,,6.8,,222
1992,NR,**,Pend Oreille,,,,,1,,5.6,,0,6.8,0,141
1992,,,Pierce,,6.1,9.6,,1,6.2,5.6,64,7.7,6.8,80,10398
1992,NR,**,San Juan,NR,,,**,1,,5.6,,,6.8,,114
1992,NR,**,Skagit,NR,,,**,1,,5.6,,,6.8,,1338
1992,,,Skamania,,,,,1,0,5.6,0,0,6.8,0,83
1992,,,Snohomish,,3.5,6.7,,1,3.7,5.6,30,4.9,6.8,40,8128
1992,,,Spokane,,4.5,8.9,,1,7.1,5.6,40,6.4,6.8,36,5595
1992,NR,**,Stevens,NR,,,**,1,,5.6,,,6.8,,442
1992,NR,,Thurston,NR,,,,1,,5.6,16,,6.8,10,2482
1992,NR,**,Wahkiakum,,,,,1,,5.6,,0,6.8,0,27
1992,NR,**,Walla Walla,NR,,,**,1,,5.6,,,6.8,,743
1992,NR,,Whatcom,NR,,,,1,,5.6,14,,6.8,11,1840
1992,NR,**,Whitman,NR,,,**,1,,5.6,,,6.8,,391
1992,,,Yakima,,6.8,12.9,,1,6,5.6,26,9.5,6.8,41,4326
1993,,,State Total,,5.7,6.9,,1,5,5,390,6.3,6.3,495,78771
1993,NR,**,Adams,NR,,,**,1,,5,,,6.3,,339
1993,,,Asotin,NR,,,**,1,0,5,0,,6.3,,255
1993,NR,**,Benton,NR,,,,1,,5,,,6.3,16,1976
1993,NR,**,Chelan,NR,,,**,1,,5,,,6.3,,938
1993,NR,**,Clallam,NR,,,**,1,,5,,,6.3,,686
1993,NR,,Clark,,3.3,8.1,,1,,5,11,5.3,6.3,22,4132
1993,,,Columbia,,,,,1,0,5,0,0,6.3,0,47
1993,NR,**,Cowlitz,NR,,,,1,,5,,,6.3,10,1232
1993,NR,**,Douglas,,,,,1,,5,,0,6.3,0,443
1993,NR,**,Ferry,NR,,,**,1,,5,,,6.3,,79
1993,NR,**,Franklin,NR,,,**,1,,5,,,6.3,,965
1993,,,Garfield,,,,,1,0,5,0,0,6.3,0,21
1993,NR,**,Grant,NR,,,**,1,,5,,,6.3,,1161
1993,NR,**,Grays Harbor,NR,,,**,1,,5,,,6.3,,861
1993,NR,**,Island,NR,,,**,1,,5,,,6.3,,1028
1993,NR,**,Jefferson,NR,,,**,1,,5,,,6.3,,236
1993,,,King,,4.6,6.6,,1,5.6,5,125,5.5,6.3,123,22355
1993,,,Kitsap,,3.2,8.8,,1,5.8,5,18,5.5,6.3,17,3101
1993,NR,**,Kittitas,NR,,,**,1,,5,,,6.3,,305
1993,NR,**,Klickitat,NR,,,**,1,,5,,,6.3,,239
1993,NR,**,Lewis,NR,,,**,1,,5,,,6.3,,815
1993,,,Lincoln,,,,,1,0,5,0,0,6.3,0,117
1993,NR,**,Mason,NR,,,**,1,,5,,,6.3,,500
1993,NR,**,Okanogan,NR,,,**,1,,5,,,6.3,,588
1993,NR,**,Pacific,NR,,,**,1,,5,,,6.3,,239
1993,,,Pend Oreille,NR,,,**,1,0,5,0,,6.3,,140
1993,,,Pierce,,5.7,9.1,,1,4.8,5,49,7.2,6.3,74,10228
1993,NR,**,San Juan,,,,,1,,5,,0,6.3,0,103
1993,NR,**,Skagit,NR,,,**,1,,5,,,6.3,,1255
1993,,,Skamania,NR,,,**,1,0,5,0,,6.3,,95
1993,,,Snohomish,,4.3,7.8,,1,3.2,5,26,5.8,6.3,47,8062
1993,,,Spokane,,5.5,10.2,,1,5.2,5,30,7.6,6.3,44,5781
1993,NR,**,Stevens,NR,,,**,1,,5,,,6.3,,414
1993,,,Thurston,NR,,,,1,7.3,5,18,,6.3,10,2467
1993,,,Wahkiakum,,,,,1,0,5,0,0,6.3,0,32
1993,NR,**,Walla Walla,NR,,,**,1,,5,,,6.3,,731
1993,NR,,Whatcom,NR,,,,1,,5,10,,6.3,11,1986
1993,NR,**,Whitman,NR,,,**,1,,5,,,6.3,,444
1993,,,Yakima,,6,11.7,,1,8.5,5,37,8.5,6.3,37,4375
1994,,,State Total,,5.6,6.8,,1,5.7,5.7,438,6.2,6.2,478,77368
1994,NR,**,Adams,NR,,,**,1,,5.7,,,6.2,,293
1994,NR,**,Asotin,NR,,,**,1,,5.7,,,6.2,,238
1994,NR,,Benton,NR,,,,1,,5.7,10,,6.2,13,1952
1994,NR,**,Chelan,NR,,,**,1,,5.7,,,6.2,,1009
1994,NR,**,Clallam,NR,,,**,1,,5.7,,,6.2,,601
